Regulator	Target	Weight
Gtf2i	Otub2	-1.0
Gtf2i	Ovca2	1.0
Gtf2i	P4ha2	-1.0
Gtf2i	Pacrgl	1.0
Gtf2i	Pacs2	1.0
Gtf2i	Pacsin1	-1.0
Gtf2i	Pak1	1.0
Gtf2i	Pank2	1.0
Gtf2i	Panx1	1.0
Gtf2i	Pard3	-1.0
Gtf2i	Pard3b	-1.0
Gtf2i	Park2	1.0
Gtf2i	Parp9	-1.0
Gtf2i	Pcdhga10	-1.0
Gtf2i	Pcdhga11	-1.0
Gtf2i	Pcdhga3	-1.0
Gtf2i	Pcdhga6	-1.0
Gtf2i	Pcdhga8	1.0
Gtf2i	Pcdhga9	-1.0
Gtf2i	Pcdhgb2	-1.0
Gtf2i	Pcdhgb4	-1.0
Gtf2i	Pcdhgb7	-1.0
Gtf2i	Pcdhgc3	-1.0
Gtf2i	Pcdhgc4	1.0
Gtf2i	Pcf11	1.0
Gtf2i	Pcnt	1.0
