Regulator	Target	Weight
Arid2	Prrt2	0.5
Arid2	Rfx7	0.5
Arid2	Runx2	0.5
Arid2	Selplg	0.5
Arid2	Sgk1	-0.5
Arid2	Supt3	0.5
Arid2	Tmcc3	-0.5
Arid2	Tpd52	-0.5
Arid2	Ttc8	0.5
Arid2	Vrk1	0.5
Arid2	Zfp184	0.5
Arid2	Zfp473	0.5
Arid3a	0610040f04rik	0.5
Arid3a	1110034g24rik	-0.5
Arid3a	1700025g04rik	0.5
Arid3a	1700025n23rik	-0.5
Arid3a	1700034j05rik	0.5
Arid3a	1700086o06rik	0.5
Arid3a	2010010a06rik	0.5
Arid3a	2010016i18rik	-0.5
Arid3a	2210408f21rik	0.5
Arid3a	2310043l19rik	0.5
Arid3a	2410016o06rik	-0.5
Arid3a	2700099c18rik	0.5
Arid3a	2810408i11rik	0.5
Arid3a	3010026o09rik	0.5
Arid3a	3110009e18rik	-0.5
Arid3a	4922502d21rik	0.5
Arid3a	4930426l09rik	0.5
Arid3a	4930546c10rik	0.5
Arid3a	5430427o19rik	0.5
Arid3a	6330416g13rik	0.5
Arid3a	9030617o03rik	0.5
Arid3a	9130015a21rik	0.5
Arid3a	9430076c15rik	0.5
Arid3a	9530059o14rik	0.5
Arid3a	A230108p19rik	-0.5
Arid3a	A530032d15rik	0.5
Arid3a	A630072m18rik	-0.5
Arid3a	A930011g23rik	0.5
Arid3a	Abl2	0.5
Arid3a	Acot2	-0.5
Arid3a	Actb	0.5
Arid3a	Acvr1	-0.5
Arid3a	Acvr1c	0.5
Arid3a	Adgb	-0.5
Arid3a	Adora3	-0.5
Arid3a	Afap1l1	-0.5
Arid3a	Ai607873	-0.5
Arid3a	Aicda	-0.5
Arid3a	Aig1	0.5
Arid3a	Akap13	0.5
Arid3a	Akap6	-0.5
Arid3a	Alcam	0.5
Arid3a	Alpk2	0.5
Arid3a	Angel1	0.5
Arid3a	Ank	0.5
Arid3a	Ankrd55	0.5
Arid3a	Antxr2	-0.5
Arid3a	Anxa2	0.5
Arid3a	Apba1	0.5
Arid3a	Apbb2	-0.5
Arid3a	Apc	-0.5
Arid3a	Apof	0.5
Arid3a	App	0.5
Arid3a	Aqp9	0.5
Arid3a	Arap2	0.5
Arid3a	Arhgap18	0.5
Arid3a	Arhgap21	-0.5
Arid3a	Arhgap22	0.5
Arid3a	Arhgap32	0.5
Arid3a	Arhgap9	0.5
Arid3a	Arhgef3	0.5
Arid3a	Arl3	0.5
Arid3a	Arl5c	0.5
Arid3a	Arrdc3	-0.5
Arid3a	Art2a-ps	0.5
Arid3a	Asph	-0.5
Arid3a	Atp1b1	-0.5
Arid3a	Atp6v1b2	-0.5
Arid3a	Atp8b1	-0.5
Arid3a	Atrnl1	0.5
Arid3a	B3galt5	-0.5
Arid3a	B3gnt2	0.5
Arid3a	B4galt1	0.5
Arid3a	B4galt6	0.5
Arid3a	Basp1	0.5
Arid3a	Bc039771	0.5
Arid3a	Bc049352	0.5
Arid3a	Bc049715	-0.5
Arid3a	Bcap29	-0.5
Arid3a	Bcl11a	0.5
Arid3a	Bcl2l15	-0.5
Arid3a	Bco2	0.5
